public_code,name_client,name_technical,short_description,visual_description,initial_position,final_position,key_action,recommended_view,exercise_family,category,body_zone,primary_muscle,secondary_muscles,movement_pattern,material_required,difficulty,intensity,impact_level,technical_risk,space_needed,duration_estimate_seconds,reps_estimate,suitable_for,avoid_if,status,source,notes
Z50-EJ-0001,Curl de bíceps con banda elástica,Curl de bíceps de pie con banda elástica pisada,Persona de pie pisando la banda y flexionando codos hacia hombros,Persona de pie pisando la banda y flexionando codos hacia hombros,"De pie, pies sobre la banda, brazos extendidos","Codos flexionados, manos cerca de hombros",Tirar hacia arriba,Frontal 3/4,strength,Fuerza resistencia,Tren superior,Bíceps,"{""Antebrazo""}",Tracción / flexión de codo,"{""Banda elástica""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Biblioteca Maestra Z50,"Alias: biceps goma, biceps gomas"
Z50-EJ-0002,Remo con banda elástica,Remo sentado con banda elástica anclada al frente,Persona sentada en el suelo tira de la banda hacia el abdomen con codos atrás,Persona sentada en el suelo tira de la banda hacia el abdomen con codos atrás,"Sentado, piernas extendidas o semiflexionadas, banda anclada al frente, brazos extendidos","Codos atrás junto al cuerpo, manos cerca del abdomen, escápulas juntas",Tirar hacia el cuerpo,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Romboides"",""bíceps""}",Tracción horizontal,"{""Banda elástica""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Variante aclarada por Sebas,Evitar elevar hombros o redondear excesivamente la espalda
Z50-EJ-0003,Jalón dorsal con banda elástica,Jalón dorsal con banda elástica anclada arriba,Persona tira de la banda desde arriba hacia el pecho,Persona tira de la banda desde arriba hacia el pecho,"Sentado/de rodillas, banda anclada arriba, brazos extendidos","Codos bajan hacia costillas, banda cerca del pecho",Tirar hacia abajo,Lateral 3/4,yoga,Fuerza resistencia / postura,Tren superior,Dorsal,"{""Bíceps"",""core""}",Tracción vertical,"{""Banda elástica""}",beginner,medium,low,medium,low,30,,"{""General""}",{},review,Biblioteca Maestra Z50,Confirmar anclaje: alto en pared/puerta o pisando banda
Z50-EJ-0004,Extensión de tríceps por encima de la cabeza con banda,Extensión de tríceps por encima de la cabeza con banda elástica,Persona de pie extiende los codos por encima de la cabeza contra la resistencia de la banda,Persona de pie extiende los codos por encima de la cabeza contra la resistencia de la banda,"De pie, banda pisada o anclada abajo/detrás, codos flexionados sobre la cabeza","Brazos extendidos por encima de la cabeza, codos mirando al frente",Extender codos por encima de la cabeza,Lateral 3/4,strength,Fuerza resistencia,Tren superior,Tríceps,"{""Hombro""}",Extensión de codo,"{""Banda elástica""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Variante aclarada por Sebas,Evitar abrir demasiado los codos o arquear la espalda
Z50-EJ-0005,Isométrico de cuádriceps en pared con pierna cerrada,Sentadilla isométrica en pared con piernas juntas o cerradas,Persona mantiene una sentadilla isométrica apoyada en la pared con las piernas juntas,Persona mantiene una sentadilla isométrica apoyada en la pared con las piernas juntas,"Espalda apoyada en pared, rodillas flexionadas, pies paralelos y piernas juntas o estrechas",Mantener posición estable con muslos descendidos y piernas cerradas,Sostener,Lateral,strength,Control / fuerza isométrica,Tren inferior,Cuádriceps,"{""Glúteo""}",Isométrico tren inferior,"{""Pared""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,PC reinterpretado como pierna cerrada por aclaración de Sebas,Evitar que las rodillas colapsen o despegar la espalda de la pared
Z50-EJ-0006,Elevación de gemelos de pie,Elevación bilateral de talones de pie,Persona sube talones manteniendo rodillas extendidas,Persona sube talones manteniendo rodillas extendidas,"De pie, pies paralelos, apoyo opcional",Talones elevados,Subir y bajar,Lateral 3/4,strength,Fuerza resistencia,Tren inferior,Gemelos,"{""Sóleo""}",Extensión de tobillo,"{""Sin material"",""apoyo""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Biblioteca Maestra Z50,Puede progresar con lastre
Z50-EJ-0007,Crunch abdominal con banda elástica en pies,Crunch abdominal con banda elástica anclada en los pies,Persona tumbada realiza un crunch sujetando una banda elástica anclada en los pies,Persona tumbada realiza un crunch sujetando una banda elástica anclada en los pies,"Tumbado boca arriba, pies fijan la banda, manos sujetan la banda con tensión inicial",Tronco flexionado hacia arriba manteniendo la tensión de la banda,Flexionar el tronco contra resistencia,Lateral 3/4,strength,Core / control,Core,Abdominales,"{""Flexores cadera""}",Flexión de tronco,"{""Banda elástica""}",beginner,medium,low,low,low,30,,"{""General""}",{},validated,Aclarado por Sebas,Evitar tirar del cuello o perder tensión en la banda
Z50-EJ-0008,Isométrico de cuádriceps en pared con pierna abierta,Sentadilla isométrica en pared con piernas abiertas,Persona mantiene una sentadilla isométrica apoyada en la pared con las piernas abiertas,Persona mantiene una sentadilla isométrica apoyada en la pared con las piernas abiertas,"Espalda apoyada en pared, rodillas flexionadas, pies más abiertos que caderas",Mantener posición estable con piernas abiertas y espalda apoyada,Sostener,Lateral,strength,Resistencia / control,Tren inferior,Cuádriceps,"{""Glúteo"",""aductores""}",Isométrico tren inferior,"{""Pared""}",beginner,medium_high,low,low,low,30,,"{""General""}",{},validated,PA reinterpretado como pierna abierta por aclaración de Sebas,Evitar que las rodillas se vayan hacia dentro o despegar la espalda
Z50-EJ-0009,Curl femoral con barra,Curl femoral con barra,Persona realiza flexión de rodillas trabajando isquiotibiales con ayuda de una barra,Persona realiza flexión de rodillas trabajando isquiotibiales con ayuda de una barra,Posición de inicio por definir en montaje exacto; ejercicio basado en flexión de rodilla con barra,Rodillas flexionadas acercando talones al cuerpo contra la resistencia/control de la barra,Flexionar rodillas,Lateral 3/4,strength,Fuerza resistencia,Tren inferior,Isquiotibiales,"{""Glúteo""}",Flexión de rodilla,"{""Barra""}",intermediate,medium_high,low,low,low,30,,"{""General""}",{},validated,Nombre cerrado por Sebas; posible revisión visual futura,Revisar técnica concreta antes de dibujar versión definitiva si hay material específico
Z50-EJ-0010,Clamshell de glúteo,Abducción de cadera en decúbito lateral tipo clamshell,Persona tumbada de lado abre rodilla manteniendo pies juntos,Persona tumbada de lado abre rodilla manteniendo pies juntos,"Tumbado lateral, rodillas flexionadas, pies juntos",Rodilla superior abierta,Abrir cadera,Lateral,strength,Activación glútea,Tren inferior,Glúteo medio,"{""Core""}",Abducción de cadera,"{""Sin material""}",beginner,low,low,low,low,30,,"{""General"",""readaptación""}",{},validated,Biblioteca Maestra Z50,Sin goma
