exercise_public_code,alias,normalized_alias,source,confidence,status,notes
Z50-EJ-0001,biceps goma,biceps_goma,Hidrógeno,high,validated,
Z50-EJ-0001,biceps gomas,biceps_gomas,General,high,validated,
Z50-EJ-0002,remo goma,remo_goma,Hidrógeno,high,validated,Variante aclarada por Sebas
Z50-EJ-0002,remo gomas,remo_gomas,Helio,high,validated,Variante aclarada por Sebas
Z50-EJ-0003,dorsal goma,dorsal_goma,Hidrógeno,medium,review,Confirmar variante
Z50-EJ-0003,dorsal gomas,dorsal_gomas,Helio,medium,review,Confirmar variante
Z50-EJ-0004,triceps goma,triceps_goma,Hidrógeno,high,validated,Variante aclarada por Sebas
Z50-EJ-0004,triceps gomas,triceps_gomas,Helio,high,validated,Variante aclarada por Sebas
Z50-EJ-0005,isometrico pc,isometrico_pc,Hidrógeno,high,validated,PC = pierna cerrada
Z50-EJ-0005,iso pc,iso_pc,Helio,high,validated,PC = pierna cerrada
Z50-EJ-0006,gemelo,gemelo,Hidrógeno/Helio,high,validated,
Z50-EJ-0007,abdomen goma,abdomen_goma,Hidrógeno,high,validated,Aclarado por Sebas
Z50-EJ-0008,isometrica pa,isometrica_pa,Hidrógeno,high,validated,PA = pierna abierta
Z50-EJ-0008,iso pa,iso_pa,Helio,high,validated,PA = pierna abierta
Z50-EJ-0009,isquio barra,isquio_barra,Hidrógeno/Helio,high,validated,Aclarado por Sebas
Z50-EJ-0010,gluteo (Almeja),gluteo_almeja,Hidrógeno,high,validated,
Z50-EJ-0011,gluteo almeja goma,gluteo_almeja_goma,Helio,high,validated,
Z50-EJ-0012,Gluteo Pierna recta,gluteo_pierna_recta,Hidrógeno,medium,review,Confirmar posición
Z50-EJ-0013,Lumbar fitball,lumbar_fitball,Hidrógeno,high,validated,
Z50-EJ-0014,Abdomen fitball,abdomen_fitball,Hidrógeno,high,validated,
Z50-EJ-0015,Abdomen fitball Lateral,abdomen_fitball_lateral,Hidrógeno,high,validated,
Z50-EJ-0016,gluteo lateral goma,gluteo_lateral_goma,Helio,medium,review,Confirmar posición
Z50-EJ-0013,lumbar bp,lumbar_bp,Helio,high,validated,BP unificado a lumbar fitball
Z50-EJ-0018,abd bp + bm,abd_bp_bm,Helio,high,validated,Aclarado por Sebas
Z50-EJ-0013,lumbar pa,lumbar_pa,Helio,high,validated,PA unificado a lumbar fitball
Z50-EJ-0020,abd bm 2kg,abd_bm_2kg,Helio,medium,review,Confirmar BM
Z50-EJ-0021,superman,superman,Helio,high,validated,
Z50-EJ-0022,plancha rodillas,plancha_rodillas,Helio,high,validated,
Z50-EJ-0023,sentadilla al aire,sentadilla_al_aire,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0024,sentadilla a silla,sentadilla_a_silla,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0025,zancada atrás,zancada_atras,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0026,zancada lateral,zancada_lateral,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0027,puente de glúteo,puente_de_gluteo,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0028,puente de glúteo unilateral,puente_de_gluteo_unilateral,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0029,flexión inclinada,flexion_inclinada,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0030,flexión en suelo,flexion_en_suelo,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0031,plancha frontal,plancha_frontal,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0032,plancha lateral,plancha_lateral,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0033,bird dog,bird_dog,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0034,dead bug,dead_bug,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0035,mountain climber suave,mountain_climber_suave,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0036,step jack sin salto,step_jack_sin_salto,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0037,curl de bíceps con botellas,curl_de_biceps_con_botellas,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0038,press hombro con botellas,press_hombro_con_botellas,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0039,elevaciones laterales con botellas,elevaciones_laterales_con_botellas,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0040,remo con mochila,remo_con_mochila,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0041,peso muerto rumano con mochila,peso_muerto_rumano_con_mochila,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0042,sentadilla goblet con mochila,sentadilla_goblet_con_mochila,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0043,fondos en silla,fondos_en_silla,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0044,step-up a silla baja,step_up_a_silla_baja,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0045,curl femoral deslizante con toalla,curl_femoral_deslizante_con_toalla,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0046,plancha con deslizamiento de toalla,plancha_con_deslizamiento_de_toalla,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0047,pallof press con banda,pallof_press_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0048,face pull con banda,face_pull_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0049,aperturas de pecho con banda,aperturas_de_pecho_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0050,press de pecho con banda,press_de_pecho_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0051,pull apart con banda,pull_apart_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0052,buenos días con banda,buenos_dias_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0053,sentadilla con banda,sentadilla_con_banda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0054,press pallof medio arrodillado,press_pallof_medio_arrodillado,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0055,caminata lateral con minibanda,caminata_lateral_con_minibanda,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0056,monster walk adelante,monster_walk_adelante,Banco funcional home,low,draft,Fuente: Investigación funcional home
Z50-EJ-0057,sentadilla con minibanda,sentadilla_con_minibanda,Banco funcional home,low,draft,Fuente: Investigación funcional home
